nz,Tmax,width,length
5,651.3349667779169,0.0,0.0
20,1860.2700924821488,0.019531250000000017,0.019531250000000017
30,2663.2304656422098,0.058593750000000056,0.19531249999999994
35,3063.3149407763904,0.058593750000000056,0.29296875000000006
40,3462.249104374868,0.09765625000000008,0.3515624999999999
50,4255.996790112293,0.09765625000000008,0.41015624999999994
55,4650.449197628358,0.1367187500000001,0.42968749999999994
60,5043.018334732262,0.1367187500000001,0.44921874999999994
120,9508.998180084314,0.17578125000000017,0.5078125
