Tested_Variable,Variable_Value,nx,ny,nz,L2_abs,L2_rel,Linf
nx,10,10,256,1700,0.0011063786462788114,0.029832491702749514,2865.531812775055
nx,16,16,256,1700,0.0008828956205115038,0.023806475623776458,2207.640685038519
nx,26,26,256,1700,0.0006383598946459923,0.017212792676762758,1742.3144221349662
nx,43,43,256,1700,0.0004247802893916001,0.011453813304683931,1623.4073899212756
nx,70,70,256,1700,0.00021464392755229136,0.005787677852683022,993.6280995640776
nx,114,114,256,1700,0.00011530536988310573,0.0031091041949243853,718.4550268332964
nx,186,186,256,1700,6.387831289833772e-05,0.0017224204804880759,324.20376636547553
nx,302,302,256,1700,5.6550818966055344e-05,0.001524841285813639,219.59370802454737
nx,492,492,256,1700,5.343886525730209e-05,0.0014409302906873585,165.90631214861673
