Lz,Tmax,width,length
0.01,164705.16357035495,0.09765625000000008,0.09765625000000008
0.02,102107.86910427768,0.2539062500000002,0.625
0.03,77689.10010709158,0.3320312500000003,0.6835937500000001
0.04,62734.05932205818,0.3320312500000003,0.6835937500000001
0.05,53379.04265834709,0.3320312500000003,0.6640625
0.06,46868.6749385501,0.3320312500000003,0.6640625
0.1,32532.019162340082,0.3320312500000003,0.6640625
